# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,4.9997155629118675,2.996089986473838,-1.7429087161335304,0,3.0,-0.058484589866131996,0.0,0.0,0.06504416333155608
 0.05462459114377191,5.004189261191178,2.9959538568368718,-1.7429087161335304,0.1638737734313157,2.9999999999999996,-0.058484589866131996,0.0035530108282749717,-0.6687232237654054,0.4810897156252342
 0.07677944309145024,5.008554061817651,2.9958199111356327,-1.757724180150027,0.23033832927435072,3.0000000000000013,-0.06217069008466242,0.014211482251502705,-0.9211426891472451,1.0650087596580253
 0.09345747391599157,5.012810847534894,2.995688137697917,-1.7730870263134257,0.2803724217479747,3.0,-0.0661697921163538,0.031973731173485787,-1.156114174884539,1.8029504620820718
 0.10724777047633954,5.016960501086521,2.9955585248515235,-1.7890301836427054,0.32174331142901863,3.0,-0.07051564117649484,0.05683695272921396,-1.3901347696991386,2.6830546866963036
 0.11915966633035927,5.0210039052161415,2.9954310609242496,-1.8055893242424133,0.35747899899107777,2.999999999999998,-0.07524642310696879,0.08879722072777985,-1.6309777989971843,3.700127981643999
 0.1297139681648709,5.024941942667367,2.995305734243893,-1.822803156218417,0.38914190449461267,2.9999999999999973,-0.08040546747065774,0.12784948827237297,-1.883754899364781,4.852594418273112
 0.1392218924437113,5.028775496183811,2.9951825331382507,-1.840713755161472,0.41766567733113386,3.0,-0.08604205954994676,0.17398758855723728,-2.152580887598177,6.141210676055688
 0.14788739019185798,5.032505448509083,2.9950614459351206,-1.8593669399956576,0.44366217057557383,2.999999999999994,-0.09221242542384472,0.22720423584149219,-2.4412347611926823,7.568447116101955
 0.15585293316696436,5.036132682386793,2.994942460962301,-1.8788127003982615,0.46755879950089296,3.0,-0.09898088868469436,0.2874910265996222,-2.753494467117699,9.138169813808494
 0.16322283497674536,5.039658080560555,2.994825566547589,-1.899105684254694,0.489668504930236,3.0000000000000036,-0.10642126105572053,0.3548384408484956,-3.093346263698797,10.855479246770631
