# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.08072824825559864,0,3.0,0.23983559691700249,0.0,0.0,-0.03933212858939014
 0.08926870704956703,1.0119533412225141,3.0000168419549302,0.08072824825559864,0.2678061211487011,3.0,0.23983559691700249,-0.003511128264682169,4.4545687098945255,-0.28675850809292286
 0.12599937082739124,1.0238136424535795,3.0000674225162367,0.2443475138139506,0.37799811248217374,3.0000000000000004,0.24610215224599333,-0.0140439586108738,5.945860210395112,-0.6264991563363449
 0.15401675759345218,1.0355813200384805,3.000151823728697,0.41093497898552295,0.4620502727803566,3.000000000000001,0.2525308298369775,-0.03159682778256005,7.223306807284485,-1.0464145927159734
 0.17749706488913744,1.047256790322501,3.000270127637086,0.5805404425115778,0.5324911946674123,2.9999999999999987,0.2591256220686452,-0.05616696397822044,8.39675847099053,-1.5358378460939512
 0.19806142550222458,1.058840469650925,3.0004224162861792,0.7532144116900212,0.5941842765066738,3.0000000000000027,0.26589059167449786,-0.08775048728852348,9.5118337306974,-2.088129319550407
 0.21654300260531226,1.070332774369037,3.000608771720753,0.9290081001756554,0.6496290078159369,3.000000000000003,0.27282987037323736,-0.12634241030901233,10.592945932133572,-2.698719428354782
 0.23343776689225817,1.0817341208221212,3.0008292759855832,1.1079734248034148,0.7003133006767747,3.0,0.2799476573315174,-0.1719366389276678,11.65507512364726,-3.3642574653444624
 0.24906954742668816,1.0930449253554613,3.0010840111254455,1.290163001248563,0.7472086422800647,3.0000000000000036,0.28724821724502886,-0.22452597328725013,12.70827383252389,-4.082177880934185
 0.2636637511514271,1.1042656043143417,3.0013730591851155,1.4756301385501855,0.7909912534542815,2.9999999999999982,0.2947358781971759,-0.2841021089222267,13.759740498018315,-4.850453528227317
 0.2773848452224478,1.1153965740440468,3.0016965022093696,1.6644288323163279,0.8321545356673434,2.999999999999996,0.3024150288455795,-0.3506556380701479,14.814895613818882,-5.667443737094317
 0.2903572568594452,1.1264382508898607,3.002054422242983,1.856613756577934,0.8710717705783356,2.9999999999999956,0.31029011593571737,-0.4241760511572583,15.877990373567583,-6.531795046835791
 0.30267786501137645,1.1373910511970673,3.002446901330732,2.0522402542107967,0.9080335950341294,3.0,0.3183656405115389,-0.5046517384580476,16.952473961637732,-7.44237326061084
 0.3144238834398266,1.1482553913109508,3.002874021517392,2.2513643257720144,0.9432716503194798,3.0,0.3266461543931605,-0.592069991928587,18.04122675387135,-8.39821516245109
 0.3256580580185534,1.1590316875767954,3.00333586484774,2.4540426167394025,0.9769741740556602,2.999999999999995,0.33513625596356866,-0.6864170072132733,19.1467145451137,-9.398493125644999
 0.3364322190737022,1.1697203563398855,3.0038325133665507,2.660332402925417,1.0092966572211066,3.0000000000000053,0.3438405855520418,-0.7876778858246811,20.271094040600254,-10.44248848045955
 0.3467897839275151,1.1803218139455047,3.0043640491185997,2.8702915741086743,1.0403693517825454,3.0000000000000107,0.3527638199977566,-0.895836637496235,21.41628703063471,-11.529571013997442
 0.35676756584770297,1.1908364767389379,3.0049305541486633,3.0839786156404956,1.0703026975431091,3.0000000000000058,0.3619106669782885,-1.010876182707221,22.584033781746193,-12.659182872966172
 0.36639711096889543,1.201264761065469,3.0055321105015174,3.3014525879603553,1.0991913329066865,2.9999999999999942,0.3712858588824474,-1.1327783553798756,23.77593222077707,-13.830825696878753
 0.3757057056392176,1.2116070832703816,3.0061688002219378,3.5227731039126224,1.127117116917653,3.0,0.3808941454118477,-1.2615239057479963,24.99346715419877,-15.044050166114598
 0.38471714844562827,1.2218638596989606,3.0068407053547004,3.7480003037065877,1.1541514453368849,2.9999999999999876,0.39074028622224394,-1.3970925033967105,26.238032344671495,-16.298447384604025
 0.3934523508680791,1.2320355066964899,3.007547907944581,3.9771948274041056,1.1803570526042375,3.000000000000013,0.4008290425191896,-1.5394627404728913,27.510947356186197,-17.593641676058475
 0.40192981092660546,1.2421224406082534,3.008290490036355,4.210417784788395,1.2057894327798167,3.000000000000013,0.411165167920043,-1.6886121350657015,28.8134704989474,-18.92928448277954
 0.41016599121291586,1.2521250777795359,3.009068533674799,4.447730722492012,1.2304979736387478,2.9999999999999933,0.421753398626187,-1.8445171347567317,30.14680880531295,-20.305049133707517
 0.4181756239161684,1.2620438345556209,3.009882120904688,4.689195588197749,1.2545268717485054,2.999999999999993,0.43259844251896956,-2.0071531203392254,31.512125722927387,-21.720626304088086
 0.42597195938991256,1.2718791272817924,3.010731333770799,4.934874691824493,1.277915878169738,3.000000000000014,0.44370496791446423,-2.1764944097057275,32.91054700020161,-23.175720029877898
 0.4335669705468874,1.2816313723033357,3.011616254317907,5.18483066347317,1.3007009116406625,2.999999999999993,0.4550775907325413,-2.352514261903576,34.34316514275083,-24.67004417010124
 0.4409715223261434,1.2913009859655338,3.012536964590787,5.4391264080362065,1.3229145669784306,3.0000000000000226,0.4667208612747689,-2.5351848813576225,35.81104270201952,-26.203319232941716
